account-id,action,bytes,dstaddr,dstport,interface-id,log-status,packets,parser,region,protocol,serverHost,severity,srcaddr,srcport,start
630972250024,ACCEPT,5601,176.32.119.56,443,eni-0fa16b066250eede1,OK,22,AWS,us-west-2,6,AWS,3,172.31.17.202,59632,1679287227
630972250024,REJECT,40,172.31.17.202,15964,eni-0fa16b066250eede1,OK,1,AWS,us-west-2,6,AWS,3,89.248.165.253,42624,1679287227
630972250024,REJECT,180,172.31.17.202,18875,eni-0fa16b066250eede1,OK,3,AWS,us-west-2,6,AWS,3,34.117.46.215,700,1679287227
630972250024,REJECT,40,172.31.17.202,13509,eni-0fa16b066250eede1,OK,1,AWS,us-west-2,6,AWS,3,89.248.165.197,44357,1679287227
630972250024,ACCEPT,4056,172.31.17.202,53114,eni-0fa16b066250eede1,OK,33,AWS,us-west-2,6,AWS,3,34.196.1.223,443,1679287227
630972250024,ACCEPT,16732,34.196.1.223,443,eni-0fa16b066250eede1,OK,40,AWS,us-west-2,6,AWS,3,172.31.17.202,53114,1679287227
630972250024,REJECT,40,172.31.17.202,8088,eni-0fa16b066250eede1,OK,1,AWS,us-west-2,6,AWS,3,195.154.108.235,32948,1679287227
630972250024,REJECT,40,172.31.13.57,12172,eni-0819faf335befcbec,OK,1,AWS,us-west-2,6,AWS,3,89.248.163.76,43307,1679287223
630972250024,REJECT,40,172.31.13.57,23,eni-0819faf335befcbec,OK,1,AWS,us-west-2,6,AWS,3,72.129.231.118,63121,1679287223
630972250024,ACCEPT,8921,172.31.13.57,55076,eni-0819faf335befcbec,OK,22,AWS,us-west-2,6,AWS,3,3.210.32.29,443,1679287223
630972250024,ACCEPT,17059,3.210.32.29,443,eni-0819faf335befcbec,OK,32,AWS,us-west-2,6,AWS,3,172.31.13.57,55076,1679287223
630972250024,REJECT,40,172.31.13.57,2489,eni-0819faf335befcbec,OK,1,AWS,us-west-2,6,AWS,3,193.57.40.49,51466,1679287223
630972250024,REJECT,40,172.31.13.57,5929,eni-0819faf335befcbec,OK,1,AWS,us-west-2,6,AWS,3,78.128.113.250,51418,1679287223
630972250024,REJECT,44,172.31.13.57,23,eni-0819faf335befcbec,OK,1,AWS,us-west-2,6,AWS,3,2.124.32.118,41206,1679287223
630972250024,ACCEPT,187,172.31.17.202,47298,eni-0fa16b066250eede1,OK,3,AWS,us-west-2,6,AWS,3,3.101.114.86,443,1679287259
